date,time,road,speed
18,3,3500007700-3500081900,47
18,4,3500007700-3500081900,46
18,5,3500007700-3500081900,45
18,6,3500007700-3500081900,41
18,7,3500007700-3500081900,30
18,8,3500007700-3500081900,32
18,9,3500007700-3500081900,36
18,10,3500007700-3500081900,37
18,11,3500007700-3500081900,36
18,12,3500007700-3500081900,36
18,13,3500007700-3500081900,35
18,14,3500007700-3500081900,0
18,15,3500007700-3500081900,33
18,16,3500007700-3500081900,37
18,17,3500007700-3500081900,38
18,18,3500007700-3500081900,36
18,19,3500007700-3500081900,36
18,20,3500007700-3500081900,37
18,21,3500007700-3500081900,41
18,22,3500007700-3500081900,44
18,23,3500007700-3500081900,47
19,0,3500007700-3500056400,44
19,1,3500007700-3500056400,47
19,2,3500007700-3500056400,45
19,3,3500007700-3500056400,43
19,4,3500007700-3500056400,42
19,5,3500007700-3500056400,45
19,6,3500007700-3500056400,42
